id,score
241032,0.978212714
953595,0.990736187
3308979,0.95890367
7421966,0.840133071
278830,0.989110231
5956968,0.975429356
1909058,0.919984519
856550,0.5
4948745,0.819615543
2493658,0.99693507
175576,0.5
4454295,0.992662072
3883392,0.963108659
8889257,0.827546418
5680462,0.981267214
8988178,0.954851985
3245876,0.908125639
4933447,0.962513268
7735464,0.828774095
6291829,0.887775898
9218403,0.5
4125779,0.995284081
8942678,0.968475342
10106055,0.968622446
6362362,0.945093274
3544550,0.952309847
9025039,0.976926684
3200646,0.5
8859380,0.977104545
4520099,0.942055464
2481869,0.998569131
1110749,0.962715507
5978498,0.933798313
5021081,0.5
1686930,0.961014926
7680289,0.990042746
7207641,0.978916049
5062445,0.954958797
8925878,0.993861079
6389657,0.87651515
4218733,0.5
2715623,0.991773605
1392332,0.969149053
7308567,0.5
6575380,0.981866241
6004058,0.957487583
9550869,0.5
8515408,0.968432069
5383192,0.982397974
1112092,0.968754649
7772661,0.991239548
9254900,0.977610171
7714294,0.996172071
10310373,0.5
9368342,0.968625665
6361863,0.884222865
8105221,0.996943057
3269390,0.5
4566393,0.909272671
9282409,0.905914068
8095168,0.971675515
2746782,0.97543627
6424982,0.990132689
762029,0.915079474
8988281,0.5
7077910,0.971635461
3772674,0.966319799
7021906,0.96985054
7618605,0.98721981
10234558,0.818357825
7021702,0.911706567
7680439,0.932872176
4258515,0.998725712
1148517,0.98743695
2487892,0.961701274
3038772,0.964331686
699460,0.901290059
4085439,0.992901444
8053990,0.849190533
7011773,0.5
2467550,0.830126584
2686374,0.5
1956274,0.922636926
8537192,0.956822753
5919096,0.958305657
6516529,0.995034873
3294243,0.989191294
10210971,0.90625596
3584790,0.987736464
1266459,0.993999004
9098059,0.936358094
408526,0.5
4118282,0.991095603
6813483,0.883751929
6590264,0.977135539
2650482,0.950383782
20927,0.969813704
4395578,0.973162293
4995903,0.979604006
5549211,0.985792398
8240758,0.96331656
6856295,0.970455468
6881188,0.894037008
1579615,0.889367104
3766866,0.994721711
2406966,0.920300484
4872699,0.879633009
5470629,0.996242523
2950213,0.873932242
9015088,0.945931137
3979496,0.934298635
7501919,0.778430521
4732995,0.949479222
7134759,0.890034735
4532538,0.966739893
7534398,0.966952384
9387189,0.5
6337492,0.849335909
10231701,0.873552799
1609922,0.900240064
4236723,0.83493185
7843837,0.5
3076065,0.5
6423204,0.99463141
8338849,0.972531378
6401209,0.95978719
20928,0.948360562
3344977,0.943967342
7604621,0.98531723
3303978,0.867922902
7067082,0.946246088
3121829,0.904936552
2539881,0.935959816
3678718,0.5
4694479,0.916773796
6646843,0.988174796
1364440,0.923663497
1781873,0.935116172
4138423,0.986881495
5562674,0.88781631
1789341,0.998350501
4672934,0.742803395
4550099,0.5
1198799,0.937236428
5308429,0.992398858
2769088,0.9463889
7603135,0.945365608
9374365,0.962716162
6106498,0.932911694
9331449,0.973002434
8799162,0.802536309
4317390,0.992210984
3884851,0.918287873
3155785,0.967053831
9368517,0.920295715
5643240,0.986114264
5042014,0.951478779
7724630,0.765849292
9449437,0.993886709
3053237,0.919062972
8132347,0.5
63733,0.936230242
2039149,0.993322313
227636,0.973936379
3689119,0.986179888
1179538,0.965520144
6823781,0.986736238
2284536,0.972666383
5143441,0.968314528
5749958,0.965873122
9116815,0.985031247
7731836,0.933527529
10262971,0.954317808
1407502,0.919211984
8817038,0.976530075
4449303,0.5
8255615,0.961755514
4053092,0.988809228
6886633,0.983242154
8820414,0.962188005
3052151,0.976083398
2339333,0.5
1618842,0.917115211
888967,0.975923777
380950,0.5
8097708,0.995172143
5671843,0.946379423
904057,0.992707193
7161725,0.933454633
9587410,0.996702552
9202380,0.834021389
2238105,0.990790009
9545766,0.90823704
2441908,0.962225556
9367465,0.5
3031415,0.995496094
843812,0.960951924
3835995,0.985778332
9732638,0.885804653
3768745,0.963834167
3975434,0.946000278
5620928,0.997801185
7381677,0.985872149
5487934,0.983924627
9028447,0.941833735
757840,0.934570849
8848403,0.859137893
7430926,0.914011359
7021544,0.859672427
1323446,0.981187224
3925573,0.977120996
8723086,0.965656281
781474,0.5
9812439,0.5
3401644,0.887331247
10036903,0.296307683
5310193,0.5
5308875,0.836684704
5052459,0.841750741
7228499,0.869243979
7651653,0.984512687
1494986,0.987556696
1783382,0.938352346
7513198,0.760051608
8308316,0.5
9694921,0.5
2472850,0.5
5487522,0.965476513
4016650,0.989727497
10229434,0.888740659
3479241,0.997080088
5848400,0.991834998
6077760,0.944982588
4642956,0.903336048
1167507,0.963116825
6044106,0.964933693
1799255,0.917752266
8941768,0.966856956
6569950,0.969939113
7733192,0.755991459
9215782,0.975963354
5175631,0.942573667
6315614,0.5
9134193,0.875647783
2481189,0.944630265
8535897,0.974075377
9476826,0.739543915
3144311,0.944567323
9370007,0.960340858
6781308,0.980305195
160222,0.966344237
4250367,0.992922008
8755479,0.930515766
8829156,0.97249347
5126077,0.924473882
6108796,0.907474279
2692126,0.852719069
6882211,0.960287333
9573675,0.985772133
3544953,0.5
2020505,0.5
5580457,0.937012315
1495271,0.755290866
8455865,0.997880101
9679300,0.766023159
6065566,0.947952628
4645208,0.932804108
6115807,0.890694618
7091397,0.5
6134153,0.983932495
7763878,0.5
8088447,0.976750255
3418349,0.989792228
9199982,0.939205647
6400000,0.963752449
6776229,0.969753504
7627794,0.950081825
8374102,0.941086888
6316934,0.918584585
1820794,0.978096366
314180,0.991610646
8670079,0.989744186
4868135,0.996433735
5336585,0.791107714
1427103,0.961332917
3518808,0.776714921
8995844,0.988902211
356566,0.975663245
6466388,0.940369606
4531944,0.992321134
6686072,0.965604067
4384343,0.949214339
7900056,0.921984553
6378563,0.742396235
5630783,0.897764087
340706,0.95308423
6202214,0.985321403
1030411,0.962174296
7922373,0.990245104
6156470,0.973981619
2994309,0.993964553
1594328,0.98678714
8072920,0.920801759
6915487,0.955423355
6202603,0.5
5286781,0.9062047
2818420,0.5
3739681,0.941998839
7922063,0.983165741
611509,0.902033508
1802663,0.977490783
9797545,0.879933596
9241055,0.86847806
9294832,0.992101014
8643209,0.760869861
7258811,0.937297583
10265391,0.958852291
132120,0.5
